input size (n), operation count
4294963822, 156
4294963823, 157
4294963824, 154
4294963825, 155
4294963826, 155
4294963827, 156
4294963828, 155
4294963829, 156
4294963830, 156
4294963831, 157
4294963832, 155
4294963833, 156
4294963834, 156
4294963835, 157
4294963836, 156
4294963837, 157
4294963838, 157
4294963839, 158
4294963840, 152
4294963841, 153
4294963842, 153
4294963843, 154
4294963844, 153
4294963845, 154
4294963846, 154
4294963847, 155
4294963848, 153
4294963849, 154
4294963850, 154
4294963851, 155
4294963852, 154
4294963853, 155
4294963854, 155
4294963855, 156
4294963856, 153
4294963857, 154
4294963858, 154
4294963859, 155
4294963860, 154
4294963861, 155
4294963862, 155
4294963863, 156
4294963864, 154
4294963865, 155
4294963866, 155
4294963867, 156
4294963868, 155
4294963869, 156
4294963870, 156
4294963871, 157
4294963872, 153
4294963873, 154
4294963874, 154
4294963875, 155
4294963876, 154
4294963877, 155
4294963878, 155
4294963879, 156
4294963880, 154
4294963881, 155
4294963882, 155
4294963883, 156
4294963884, 155
4294963885, 156
4294963886, 156
4294963887, 157
4294963888, 154
4294963889, 155
4294963890, 155
4294963891, 156
4294963892, 155
4294963893, 156
4294963894, 156
4294963895, 157
4294963896, 155
4294963897, 156
4294963898, 156
4294963899, 157
4294963900, 156
4294963901, 157
4294963902, 157
4294963903, 158
4294963904, 153
4294963905, 154
4294963906, 154
4294963907, 155
4294963908, 154
4294963909, 155
4294963910, 155
4294963911, 156
4294963912, 154
4294963913, 155
4294963914, 155
4294963915, 156
4294963916, 155
4294963917, 156
4294963918, 156
4294963919, 157
4294963920, 154
4294963921, 155
4294963922, 155
4294963923, 156
4294963924, 155
4294963925, 156
4294963926, 156
4294963927, 157
4294963928, 155
4294963929, 156
4294963930, 156
4294963931, 157
4294963932, 156
4294963933, 157
4294963934, 157
4294963935, 158
4294963936, 154
4294963937, 155
4294963938, 155
4294963939, 156
4294963940, 155
4294963941, 156
4294963942, 156
4294963943, 157
4294963944, 155
4294963945, 156
4294963946, 156
4294963947, 157
4294963948, 156
4294963949, 157
4294963950, 157
4294963951, 158
4294963952, 155
4294963953, 156
4294963954, 156
4294963955, 157
4294963956, 156
4294963957, 157
4294963958, 157
4294963959, 158
4294963960, 156
4294963961, 157
4294963962, 157
4294963963, 158
4294963964, 157
4294963965, 158
4294963966, 158
4294963967, 159
4294963968, 152
4294963969, 153
4294963970, 153
4294963971, 154
4294963972, 153
4294963973, 154
4294963974, 154
4294963975, 155
4294963976, 153
4294963977, 154
4294963978, 154
4294963979, 155
4294963980, 154
4294963981, 155
4294963982, 155
4294963983, 156
4294963984, 153
4294963985, 154
4294963986, 154
4294963987, 155
4294963988, 154
4294963989, 155
4294963990, 155
4294963991, 156
4294963992, 154
4294963993, 155
4294963994, 155
4294963995, 156
4294963996, 155
4294963997, 156
4294963998, 156
4294963999, 157
4294964000, 153
4294964001, 154
4294964002, 154
4294964003, 155
4294964004, 154
4294964005, 155
4294964006, 155
4294964007, 156
4294964008, 154
4294964009, 155
4294964010, 155
4294964011, 156
4294964012, 155
4294964013, 156
4294964014, 156
4294964015, 157
4294964016, 154
4294964017, 155
4294964018, 155
4294964019, 156
4294964020, 155
4294964021, 156
4294964022, 156
4294964023, 157
4294964024, 155
4294964025, 156
4294964026, 156
4294964027, 157
4294964028, 156
4294964029, 157
4294964030, 157
4294964031, 158
4294964032, 153
4294964033, 154
4294964034, 154
4294964035, 155
4294964036, 154
